"hours_since_inj","tch_avs","tch_ses","trt","fen","lps","meanANDse","meanMINUSse"
2.5,0.628671298009212,0.261235580135851,"N_N","N","N",0.889906878145063,0.367435717873361
2.5,0.159955775555552,0.167214493701102,"N_Y","N","Y",0.327170269256653,-0.00725871814555012
2.5,0.722686146083893,0.586582626390931,"Y_N","Y","N",1.30926877247482,0.136103519692963
2.5,0.473340310544081,0.152033867684577,"Y_Y","Y","Y",0.625374178228657,0.321306442859504
3,0.467000627679138,0.308388169847344,"N_N","N","N",0.775388797526482,0.158612457831794
3,0.181182157136891,0.222926007788833,"N_Y","N","Y",0.404108164925725,-0.0417438506519419
3,0.256270016481353,0.355802618362256,"Y_N","Y","N",0.612072634843609,-0.0995326018809025
3,0.622143026315622,0.162874319536846,"Y_Y","Y","Y",0.785017345852468,0.459268706778776
3.5,0.467363627307308,0.326427963731307,"N_N","N","N",0.793791591038616,0.140935663576001
3.5,-0.127182332673449,0.228789506601985,"N_Y","N","Y",0.101607173928536,-0.355971839275433
3.5,0.0657479202098254,0.187321990396935,"Y_N","Y","N",0.25306991060676,-0.12157407018711
3.5,0.605086785325676,0.181621450060028,"Y_Y","Y","Y",0.786708235385704,0.423465335265649
4,0.431188520001312,0.383965274212772,"N_N","N","N",0.815153794214084,0.0472232457885392
4,0.0673772259304267,0.242270191338753,"N_Y","N","Y",0.309647417269179,-0.174892965408326
4,0.107093661883891,0.242495266459238,"Y_N","Y","N",0.349588928343128,-0.135401604575347
4,0.702248127029289,0.204937333024097,"Y_Y","Y","Y",0.907185460053386,0.497310794005192
4.5,0.450748973638246,0.40824105354678,"N_N","N","N",0.858990027185026,0.0425079200914661
4.5,-0.149582011075712,0.232483059832007,"N_Y","N","Y",0.0829010487562943,-0.382065070907719
4.5,-0.0755646962128568,0.161471112866737,"Y_N","Y","N",0.0859064166538798,-0.237035809079593
4.5,0.870152878466536,0.198867069401584,"Y_Y","Y","Y",1.06901994786812,0.671285809064952
5,0.699374430320856,0.284775627034391,"N_N","N","N",0.984150057355247,0.414598803286465
5,-0.0811538121466406,0.247105496259227,"N_Y","N","Y",0.165951684112587,-0.328259308405868
5,0.149350373410016,0.303923504841076,"Y_N","Y","N",0.453273878251092,-0.154573131431061
5,0.778571492042924,0.180181856122731,"Y_Y","Y","Y",0.958753348165655,0.598389635920193
5.5,0.645805530864743,0.313949340777368,"N_N","N","N",0.959754871642111,0.331856190087374
5.5,-0.0251148255338736,0.228191182174913,"N_Y","N","Y",0.20307635664104,-0.253306007708787
5.5,0.310613361651974,0.477134575448899,"Y_N","Y","N",0.787747937100873,-0.166521213796925
5.5,0.841946069450816,0.197158503706582,"Y_Y","Y","Y",1.0391045731574,0.644787565744234
6,0.758801201430105,0.350517453205406,"N_N","N","N",1.10931865463551,0.408283748224699
6,0.171053376799855,0.276657357581694,"N_Y","N","Y",0.447710734381549,-0.105603980781839
6,-0.06681236191251,0.125095467500138,"Y_N","Y","N",0.0582831055876284,-0.191907829412648
6,0.745155314237996,0.188494252875807,"Y_Y","Y","Y",0.933649567113803,0.556661061362189
6.5,0.723409576302026,0.260109594935262,"N_N","N","N",0.983519171237287,0.463299981366764
6.5,-0.0302201627594137,0.271378383535105,"N_Y","N","Y",0.241158220775692,-0.301598546294519
6.5,0.0474096357518926,0.255468973672372,"Y_N","Y","N",0.302878609424265,-0.20805933792048
6.5,0.751290722164454,0.21935830851662,"Y_Y","Y","Y",0.970649030681074,0.531932413647834
